time, vertical speed, horizontal speed, altitude, angle, weight, acc
0,24.8,932,13748,58.3,286,0
10,24.73883468,919.9627047,13496.49594,58.3,284.418028,1.597050662
20,23.82635881,906.3402862,13254.19424,58.3,282.817408,1.606089255
30,22.99645023,892.6405737,13020.56335,58.3,281.216788,1.615230738
40,22.24930537,878.862685,12794.77651,58.3,279.616168,1.624476879
50,21.58511977,865.0057228,12576.005,58.3,278.015548,1.633829486
60,21.00408797,851.0687741,12363.41815,58.3,276.414928,1.643290409
70,20.5064035,837.0509103,12156.18338,58.3,274.814308,1.652861539
80,20.09225875,822.9511862,11953.46614,58.3,273.213688,1.662544814
90,19.8384306,808.8929627,11754.22577,58.3,271.631716,1.623521754
100,20.01163304,795.31208,11555.25953,58.3,270.114346,1.562671536
110,20.46877369,781.9836363,11352.69632,58.3,268.626946,1.571324122
120,21.00770636,768.5812077,11145.11201,58.3,267.139546,1.58007306
130,21.62863036,755.1039682,10931.68759,58.3,265.652146,1.588919971
140,22.33174437,741.5510779,10711.60205,58.3,264.164746,1.597866507
150,23.11724634,727.9216828,10484.0324,58.3,262.677346,1.606914363
160,23.98533345,714.2149142,10248.15367,58.3,261.189946,1.616065268
170,24.93620207,700.4298887,10003.13893,58.3,259.702546,1.625320993
180,25.83207634,686.3415058,9748.619144,58.3,258.185176,1.70075605
190,26.43117685,671.5501328,9486.754985,58.3,256.601206,1.784909772
200,26.72870341,656.0369645,9220.557525,58.3,254.950636,1.870597412
210,26.72331085,639.78858,8953.049585,58.3,253.233466,1.957916573
220,26.41326065,622.7907083,8687.269587,58.3,251.449696,2.046970063
230,25.79640086,605.0281824,8426.275592,58.3,249.599326,2.13786635
240,24.87014395,586.4848893,8173.149558,58.3,247.683022,2.223083341
250,23.85270909,567.5036406,7930.117329,58.3,245.742742,2.24063586
260,22.92413029,548.3719881,7696.770714,58.3,243.802462,2.258467759
270,22.08436899,529.0875292,7472.221353,58.3,241.862182,2.276585762
280,21.33337394,509.6478034,7255.581344,58.3,239.921902,2.294996811
290,20.67108063,490.05029,7045.963366,58.3,237.981622,2.313708073
300,20.09741064,470.2924066,6842.480823,58.3,236.041342,2.332726951
310,19.73068498,450.5638286,6643.8929,58.3,234.125038,2.287239351
320,19.86453158,431.3443594,6446.274793,58.3,232.274668,2.224091006
330,20.4248833,412.5219335,6244.719472,58.3,230.47225,2.216882944
340,21.09984469,393.5938127,6036.831678,58.3,228.67183,2.234337303
350,21.86367295,374.5161321,5821.705478,58.3,226.87141,2.252068694
360,22.7163339,355.2865096,5598.452383,58.3,225.07099,2.270083763
370,23.65778089,335.9025054,5366.184312,58.3,223.27057,2.288389374
380,24.68795422,316.3616205,5124.013721,58.3,221.47015,2.306992613
390,25.71207869,296.5075645,4871.306178,58.3,219.651082,2.386330152
400,26.39886067,275.7949056,4610.105611,58.3,217.767412,2.493761555
410,26.71643565,254.1580748,4344.063555,58.3,215.817142,2.603871012
420,26.65923675,231.5736204,4076.902123,58.3,213.800272,2.71683471
430,26.22097373,208.0165464,3812.403031,58.3,211.716802,2.832840825
440,25.39458244,183.4602066,3554.415114,58.3,209.566732,2.952090697
450,24.24386352,157.9925098,3306.695167,58.3,207.364048,3.019906324
460,23.12180181,132.1749361,3070.490322,58.3,205.157368,3.052388545
470,22.07491826,106.0783116,2845.09175,58.3,202.950688,3.085577123
480,21.10213503,79.69653819,2629.753547,58.3,200.744008,3.119495353
490,20.20230848,53.02331542,2423.740942,58.3,198.537328,3.154167563
500,19.48017658,26.22412295,2226.048657,58.3,196.349296,3.121936327
510,19.30685148,-0.0974762,2032.680941,58.3,194.225866,3.058758405
520,22.32702114,0,1826.150152,34.3,192.921172,1.632791242
530,23.13477826,0,1596.217295,4.3,191.811172,1.642240109
540,22.88987651,0,1366.135756,0,190.701172,1.651798973
550,22.54846137,0,1139.035036,0,189.591172,1.661469765
560,22.10982738,0,915.8822336,0,188.481172,1.671254464
570,21.5728264,0,697.6558335,0,187.371172,1.681155093
580,20.93628985,0,485.3459162,0,186.261172,1.691173725
590,20.19902819,0,279.9543623,0,185.151172,1.701312482
600,17.64722521,0,84.20767086,0,183.819172,3.427281241
601,15.84194397,0,68.36572689,0,183.597172,3.431425403
602,14.03251857,0,54.33320832,0,183.375172,3.4355796
603,12.21893897,0,42.11426935,0,183.153172,3.439743866
604,10.4011951,0,31.71307425,0,182.931172,3.44391824
605,8.579276861,0,23.13379739,0,182.709172,3.448102759
606,6.753174102,0,16.38062329,0,182.487172,3.452297458
607,4.922876644,0,11.45774664,0,182.265172,3.456502376
608,3.088374269,0,8.369372375,0,182.109772,2.421616342
609,2.288757926,0,6.080614448,0,181.954372,2.423684549
610,1.487073377,0,4.593541071,0,181.798972,2.425756291
611,0.683317087,0,3.910223985,0,181.710172,1.386823848
612,0.918493238,0,2.991730746,0,181.621372,1.387501907
613,1.152991331,0,1.838739415,0,181.532572,1.388180629
614,1.386810702,0,0.451928713,0,181.443772,1.388860016
